@RELATION FingerPrint
@attribute typePoint0 numeric
@attribute gradienPoint0 numeric
@attribute distancePoint0 numeric
@attribute typePoint1 numeric
@attribute gradienPoint1 numeric
@attribute distancePoint1 numeric
@attribute typePoint2 numeric
@attribute gradienPoint2 numeric
@attribute distancePoint2 numeric
@attribute typePoint3 numeric
@attribute gradienPoint3 numeric
@attribute distancePoint3 numeric
@attribute typePoint4 numeric
@attribute gradienPoint4 numeric
@attribute distancePoint4 numeric
@attribute typePoint5 numeric
@attribute gradienPoint5 numeric
@attribute distancePoint5 numeric
@attribute typePoint6 numeric
@attribute gradienPoint6 numeric
@attribute distancePoint6 numeric
@attribute typePoint7 numeric
@attribute gradienPoint7 numeric
@attribute distancePoint7 numeric
@attribute typePoint8 numeric
@attribute gradienPoint8 numeric
@attribute distancePoint8 numeric
@attribute typePoint9 numeric
@attribute gradienPoint9 numeric
@attribute distancePoint9 numeric
@attribute typePoint10 numeric
@attribute gradienPoint10 numeric
@attribute distancePoint10 numeric
@attribute typePoint11 numeric
@attribute gradienPoint11 numeric
@attribute distancePoint11 numeric
@attribute typePoint12 numeric
@attribute gradienPoint12 numeric
@attribute distancePoint12 numeric
@attribute typePoint13 numeric
@attribute gradienPoint13 numeric
@attribute distancePoint13 numeric
@attribute typePoint14 numeric
@attribute gradienPoint14 numeric
@attribute distancePoint14 numeric
@attribute class {+1, -1}

@data
1,1.5497476119543958,43.04648650006177,1,1.5381411897222173,41.14608122288197,1,1.5549799511541973,39.59797974644666,1,1.5516677447401372,38.01315561749642,2,0.0,37.69615364994153,1,1.5537632003640505,36.40054944640259,1,1.5444936955215642,36.24913792078372,1,1.5449127121211332,35.77708763999664,1,1.5407343790481127,34.132096331752024,2,0.10552941064763384,33.24154027718932,1,1.549596739542552,32.38826948140329,1,1.527240572330831,32.2490309931942,1,1.5277728675582982,32.202484376209235,1,1.5349932351480886,28.442925306655784,1,0.5498565491551696,26.68332812825267,-1
1,1.5535156118754838,40.718546143004666,2,0.0,39.698866482558415,2,0.0,39.20459156782532,1,8.01529549469971E-4,36.013886210738214,1,1.5568636178206783,34.17601498127012,1,1.519796340802597,34.0147027033899,2,0.330830904849657,30.675723300355934,1,9.146850309335556E-4,29.427877939124322,1,1.4960525891935763,29.0,2,0.04155959242258417,27.313000567495326,1,1.5481054983080589,26.68332812825267,1,7.726702008088269E-4,26.019223662515376,1,1.4938188477525742,25.942243542145693,1,1.1407728839091786,24.041630560342615,1,1.4205143432598113,23.853720883753127,-1
2,0.0,46.861498055439924,2,0.0,39.21734310225516,1,0.007668473155930556,38.2099463490856,2,0.15169428859776315,38.01315561749642,1,0.00309752273083031,37.107950630558946,1,0.0037106162298329,37.0,2,1.4317669881621278,32.57299494980466,1,0.007680863162734011,32.14031735997639,1,0.00595155159284514,29.614185789921695,2,1.5669788515007774,28.844410203711913,2,1.5439427093999258,27.65863337187866,1,0.06970156912606684,26.40075756488817,1,0.0020108588298568004,25.709920264364882,1,1.5085020937936773,25.495097567963924,1,0.00542636109512224,25.317977802344327,-1
2,1.2132512441787218,41.012193308819754,1,1.5230553044046626,36.49657518178932,1,1.5013323898297302,32.55764119219941,1,1.5367279149471995,32.01562118716424,1,1.4936546498601617,31.78049716414141,2,1.3886548859439476,31.38470965295043,1,1.5281537040124316,31.240998703626616,1,1.549781249215997,31.064449134018133,2,0.0,30.528675044947494,1,1.5274408792295944,30.265491900843113,1,1.4903946717476348,30.083217912982647,1,1.482350832272132,29.154759474226502,1,1.5339928248493333,27.784887978899608,2,1.4995283345489088,27.459060435491963,1,1.545977827498416,27.202941017470888,-1
1,1.5497476119543958,43.04648650006177,1,1.5381411897222173,41.14608122288197,1,1.5549799511541973,39.59797974644666,1,1.5516677447401372,38.01315561749642,2,0.0,37.69615364994153,1,1.5537632003640505,36.40054944640259,1,1.5444936955215642,36.24913792078372,1,1.5449127121211332,35.77708763999664,1,1.5407343790481127,34.132096331752024,2,0.10552941064763384,33.24154027718932,1,1.549596739542552,32.38826948140329,1,1.527240572330831,32.2490309931942,1,1.5277728675582982,32.202484376209235,1,1.5349932351480886,28.442925306655784,1,0.5498565491551696,26.68332812825267,-1
1,1.5535156118754838,40.718546143004666,2,0.0,39.698866482558415,2,0.0,39.20459156782532,1,8.01529549469971E-4,36.013886210738214,1,1.5568636178206783,34.17601498127012,1,1.519796340802597,34.0147027033899,2,0.330830904849657,30.675723300355934,1,9.146850309335556E-4,29.427877939124322,1,1.4960525891935763,29.0,2,0.04155959242258417,27.313000567495326,1,1.5481054983080589,26.68332812825267,1,7.726702008088269E-4,26.019223662515376,1,1.4938188477525742,25.942243542145693,1,1.1407728839091786,24.041630560342615,1,1.4205143432598113,23.853720883753127,-1
2,0.0,46.861498055439924,2,0.0,39.21734310225516,1,0.007668473155930556,38.2099463490856,2,0.15169428859776315,38.01315561749642,1,0.00309752273083031,37.107950630558946,1,0.0037106162298329,37.0,2,1.4317669881621278,32.57299494980466,1,0.007680863162734011,32.14031735997639,1,0.00595155159284514,29.614185789921695,2,1.5669788515007774,28.844410203711913,2,1.5439427093999258,27.65863337187866,1,0.06970156912606684,26.40075756488817,1,0.0020108588298568004,25.709920264364882,1,1.5085020937936773,25.495097567963924,1,0.00542636109512224,25.317977802344327,-1
2,1.2132512441787218,41.012193308819754,1,1.5230553044046626,36.49657518178932,1,1.5013323898297302,32.55764119219941,1,1.5367279149471995,32.01562118716424,1,1.4936546498601617,31.78049716414141,2,1.3886548859439476,31.38470965295043,1,1.5281537040124316,31.240998703626616,1,1.549781249215997,31.064449134018133,2,0.0,30.528675044947494,1,1.5274408792295944,30.265491900843113,1,1.4903946717476348,30.083217912982647,1,1.482350832272132,29.154759474226502,1,1.5339928248493333,27.784887978899608,2,1.4995283345489088,27.459060435491963,1,1.545977827498416,27.202941017470888,-1
1,1.5497476119543958,43.04648650006177,1,1.5381411897222173,41.14608122288197,1,1.5549799511541973,39.59797974644666,1,1.5516677447401372,38.01315561749642,2,0.0,37.69615364994153,1,1.5537632003640505,36.40054944640259,1,1.5444936955215642,36.24913792078372,1,1.5449127121211332,35.77708763999664,1,1.5407343790481127,34.132096331752024,2,0.10552941064763384,33.24154027718932,1,1.549596739542552,32.38826948140329,1,1.527240572330831,32.2490309931942,1,1.5277728675582982,32.202484376209235,1,1.5349932351480886,28.442925306655784,1,0.5498565491551696,26.68332812825267,-1
1,1.5535156118754838,40.718546143004666,2,0.0,39.698866482558415,2,0.0,39.20459156782532,1,8.01529549469971E-4,36.013886210738214,1,1.5568636178206783,34.17601498127012,1,1.519796340802597,34.0147027033899,2,0.330830904849657,30.675723300355934,1,9.146850309335556E-4,29.427877939124322,1,1.4960525891935763,29.0,2,0.04155959242258417,27.313000567495326,1,1.5481054983080589,26.68332812825267,1,7.726702008088269E-4,26.019223662515376,1,1.4938188477525742,25.942243542145693,1,1.1407728839091786,24.041630560342615,1,1.4205143432598113,23.853720883753127,-1
